"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.926046175E0;-9.733595848E-1;9.304907322E-1;3.847563744E0
2.936046175E0;-1.317456722E0;8.721516132E-1;3.811355591E0
2.946047175E0;-1.881932735E0;7.491953373E-1;3.605762482E0
2.956034675E0;-2.200708151E0;6.734840870E-1;3.373786926E0
2.966034675E0;-2.574616671E0;5.778408051E-1;2.943460464E0
2.976034675E0;-2.923407078E0;5.580198765E-1;2.331117630E0
2.986034675E0;-3.434131861E0;6.536033154E-1;1.275246620E0
2.996034841E0;-3.640948296E0;6.791164875E-1;8.091917038E-1
3.006034841E0;-3.952932596E0;7.417099476E-1;7.882308960E-2
3.016031466E0;-4.188470840E0;7.597706318E-1;-4.530096054E-1
3.026031577E0;-4.698295593E0;8.587825298E-1;-1.188884258E0
3.036031577E0;-4.690089226E0;8.422839642E-1;-1.238733768E0
3.046031577E0;-4.826902390E0;8.616607189E-1;-1.393804073E0
3.056031577E0;-5.076774597E0;8.999752998E-1;-1.462489128E0
3.066031653E0;-5.149014473E0;8.595349789E-1;-1.205090523E0
3.076030010E0;-5.151790142E0;8.447911739E-1;-1.186308384E0
3.086029210E0;-5.033123493E0;7.743957043E-1;-1.003603935E0
3.096029210E0;-4.834982395E0;7.407341003E-1;-7.238717079E-1
3.106029268E0;-4.101370811E0;5.476865768E-1;5.999193192E-1
3.115583434E0;-4.149006844E0;5.741918087E-1;6.144218445E-1
3.124740012E0;-4.200656414E0;6.101431847E-1;6.285734177E-1
3.140765012E0;-3.999543667E0;5.383172035E-1;1.006857872E0
3.150765012E0;-3.799710035E0;5.132248402E-1;1.736176491E0
3.160746012E0;-3.735994339E0;4.982068539E-1;2.693717003E0
3.170741512E0;-3.734331131E0;5.458679199E-1;3.099252701E0
3.180741512E0;-3.622555733E0;4.275777340E-1;3.960554123E0
3.190741762E0;-3.585547209E0;3.185329437E-1;4.260240555E0
3.200741962E0;-3.586240053E0;2.680840492E-1;4.357002258E0
3.210741962E0;-3.721133471E0;2.907133102E-1;4.214384079E0
3.220741962E0;-3.926387787E0;4.069962502E-1;4.042242050E0
3.230741962E0;-4.156626225E0;5.665724277E-1;3.635380745E0
3.240742073E0;-4.223196030E0;6.057970524E-1;3.377982140E0
3.250743373E0;-4.256894112E0;6.013207436E-1;3.397160530E0
3.260743373E0;-4.313714504E0;6.363019943E-1;2.719158173E0
3.270743456E0;-4.358693600E0;7.032346725E-1;2.144879341E0
3.280743532E0;-4.466720104E0;7.889468670E-1;1.816345215E0
3.290742103E0;-4.557493687E0;7.310729027E-1;1.882427216E0
3.300742036E0;-4.783869743E0;9.942178726E-1;9.384231567E-1
3.310742036E0;-5.008440018E0;1.244585037E0;3.321247101E-1
3.320742094E0;-5.092652321E0;1.322163105E0;1.932878494E-1
3.330296260E0;-5.143771648E0;1.297829866E0;2.308645248E-1
3.339452838E0;-5.197269917E0;1.283846617E0;2.675619125E-1
3.355477838E0;-5.077559948E0;1.475382566E0;-3.740844727E-1
3.365478838E0;-4.936352253E0;1.426232815E0;-6.051907539E-1
3.375478838E0;-4.803698540E0;1.383572102E0;-5.911450386E-1
3.385478338E0;-4.467167854E0;1.235416412E0;-4.376230240E-1
3.395478004E0;-4.288042545E0;1.117946863E0;-3.071575165E-1
3.405477754E0;-3.816061974E0;8.807969093E-1;5.334234238E-2
3.415477754E0;-3.680001020E0;8.169565201E-1;3.342475891E-1
3.425477587E0;-3.629603863E0;6.387432814E-1;7.296490669E-1
3.435477444E0;-3.720880985E0;5.453901291E-1;1.045850754E0
3.445477444E0;-4.010820866E0;4.039014578E-1;1.469991207E0
3.455477332E0;-4.197894096E0;3.520635366E-1;1.633444786E0
3.465478632E0;-4.262228966E0;4.441721439E-1;1.661787033E0
3.475478541E0;-4.557605743E0;2.704948187E-1;1.998669147E0
3.485478457E0;-4.540723801E0;2.315422297E-1;2.018791199E0
3.495478457E0;-4.489632607E0;2.793408632E-1;1.988544941E0
3.505480957E0;-4.194974899E0;4.111757278E-1;2.063478470E0
3.515480890E0;-4.080021858E0;4.967387915E-1;2.264503002E0
3.525480827E0;-3.490700960E0;7.680000067E-1;2.615691185E0
3.535480827E0;-1.496065140E0;1.091590524E0;3.123379230E0
3.545034938E0;-1.598293304E0;1.170260429E0;3.202950954E0
3.554191464E0;-1.689994812E0;1.248096704E0;3.276190281E0
3.570216464E0;-1.323382854E0;1.274433136E0;3.328862667E0
3.580217464E0;-4.802217484E-1;1.502473474E0;3.493546486E0
3.590217464E0;-1.979069710E-1;1.836655378E0;3.730060577E0
3.600210964E0;2.892570496E-1;2.462376595E0;4.047544956E0
3.610210630E0;6.582593918E-1;2.714587927E0;4.066884041E0
3.620210380E0;1.250370026E0;2.746601105E0;3.836830616E0
3.630210380E0;1.548946381E0;2.750294924E0;3.553652287E0
3.640210380E0;1.716357231E0;2.950330734E0;2.939736843E0
3.650210237E0;1.606312752E0;3.174410820E0;2.319949150E0
3.660211987E0;1.383772850E0;3.276279688E0;1.831291676E0
3.670211987E0;6.993317604E-1;3.308150053E0;4.471702576E-1
3.680211887E0;7.026739120E-1;3.159679890E0;4.657869339E-1
3.690211341E0;5.346894264E-1;2.949204445E0;1.025152206E-2
